"Date","Time","Temp","SpCond","DO Conc","DO Charge","DO%","Battery","Cond"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","%","V","mS/cm"
"05/31/10","22:20:40",24.78,0.198,8.98,41,108.2,6.2,0.197
"05/31/10","22:24:40",24.77,0.198,8.97,41,108.1,6.2,0.197
"05/31/10","22:28:40",24.75,0.198,8.95,41,107.8,6.2,0.197
"05/31/10","22:32:40",24.73,0.198,8.96,41,107.9,6.2,0.197
"05/31/10","22:36:40",24.70,0.198,8.97,41,108.0,6.2,0.197
"05/31/10","22:40:40",24.69,0.198,8.97,41,108.0,6.2,0.197
"05/31/10","22:44:40",24.66,0.198,8.96,41,107.8,6.2,0.197
"05/31/10","22:48:40",24.66,0.198,8.93,41,107.5,6.2,0.197
"05/31/10","22:52:40",24.65,0.198,8.90,41,107.1,6.2,0.197
"05/31/10","22:56:40",24.64,0.198,8.89,41,106.9,6.2,0.197
"05/31/10","23:00:40",24.60,0.198,8.90,41,106.9,6.2,0.196
"05/31/10","23:04:40",24.60,0.198,8.91,41,107.1,6.2,0.196
"05/31/10","23:08:40",24.59,0.198,8.92,41,107.2,6.2,0.196
"05/31/10","23:12:40",24.58,0.198,8.92,41,107.2,6.2,0.196
"05/31/10","23:16:40",24.56,0.198,8.91,41,107.0,6.2,0.196
"05/31/10","23:20:40",24.54,0.198,8.93,41,107.2,6.2,0.196
"05/31/10","23:24:40",24.53,0.198,8.91,41,106.9,6.2,0.196
"05/31/10","23:28:40",24.51,0.198,8.90,41,106.7,6.2,0.196
"05/31/10","23:32:40",24.50,0.198,8.89,41,106.6,6.2,0.196
"05/31/10","23:36:40",24.48,0.198,8.88,41,106.5,6.1,0.196
"05/31/10","23:40:40",24.47,0.198,8.90,41,106.6,6.2,0.196
"05/31/10","23:44:40",24.45,0.198,8.89,41,106.5,6.1,0.196
"05/31/10","23:48:40",24.44,0.198,8.89,41,106.5,6.1,0.196
"05/31/10","23:52:40",24.43,0.198,8.89,41,106.5,6.1,0.196
"05/31/10","23:56:40",24.39,0.198,8.89,41,106.4,6.1,0.196
"06/01/10","00:00:40",24.38,0.198,8.85,40,105.9,6.1,0.196
"06/01/10","00:04:40",24.37,0.198,8.87,41,106.2,6.1,0.196
"06/01/10","00:08:40",24.34,0.198,8.88,41,106.2,6.1,0.195
"06/01/10","00:12:40",24.33,0.198,8.88,41,106.2,6.1,0.195
"06/01/10","00:16:40",24.32,0.198,8.89,40,106.3,6.1,0.195
"06/01/10","00:20:40",24.30,0.198,8.85,41,105.7,6.2,0.195
"06/01/10","00:24:40",24.28,0.198,8.81,40,105.3,6.1,0.195
"06/01/10","00:28:40",24.26,0.198,8.84,41,105.5,6.0,0.195
"06/01/10","00:32:40",24.25,0.198,8.85,41,105.7,6.0,0.195
"06/01/10","00:36:40",24.23,0.198,8.87,40,105.9,6.0,0.195
"06/01/10","00:40:40",24.21,0.198,8.84,41,105.5,6.0,0.195
"06/01/10","00:44:40",24.21,0.198,8.82,41,105.2,6.0,0.195
"06/01/10","00:48:40",24.18,0.198,8.83,41,105.3,6.0,0.195
"06/01/10","00:52:40",24.19,0.198,8.85,41,105.6,6.0,0.195
"06/01/10","00:56:40",24.18,0.198,8.80,41,105.0,6.0,0.195
"06/01/10","01:00:40",24.16,0.198,8.79,40,104.7,6.0,0.195
"06/01/10","01:04:40",24.15,0.198,8.80,41,104.9,6.1,0.195
"06/01/10","01:08:40",24.13,0.198,8.78,40,104.6,6.0,0.195
"06/01/10","01:12:40",24.12,0.198,8.76,40,104.3,6.0,0.195
"06/01/10","01:16:40",24.09,0.198,8.77,40,104.4,6.0,0.195
"06/01/10","01:20:40",24.08,0.198,8.82,41,104.9,6.0,0.195
"06/01/10","01:24:40",24.07,0.198,8.78,40,104.4,6.0,0.194
"06/01/10","01:28:40",24.04,0.198,8.80,41,104.7,6.0,0.194
"06/01/10","01:32:40",24.04,0.198,8.78,40,104.4,6.0,0.194
"06/01/10","01:36:40",24.03,0.198,8.77,41,104.3,6.0,0.194
"06/01/10","01:40:40",24.03,0.198,8.79,40,104.5,6.0,0.194
"06/01/10","01:44:40",24.00,0.198,8.80,40,104.5,6.0,0.194
"06/01/10","01:48:40",24.00,0.198,8.82,41,104.8,6.0,0.194
"06/01/10","01:52:40",23.98,0.198,8.80,41,104.6,6.0,0.194
"06/01/10","01:56:40",23.97,0.198,8.80,40,104.5,6.0,0.194
"06/01/10","02:00:40",23.94,0.198,8.80,40,104.5,6.0,0.194
"06/01/10","02:04:40",23.95,0.198,8.80,41,104.5,6.0,0.194
"06/01/10","02:08:40",23.92,0.198,8.82,40,104.7,6.0,0.194
"06/01/10","02:12:40",23.89,0.198,8.79,40,104.2,6.0,0.194
"06/01/10","02:16:40",23.90,0.198,8.80,40,104.4,6.0,0.194
"06/01/10","02:20:40",23.89,0.198,8.77,41,104.0,6.0,0.194
