Date,Time,Temp,Battery,DO Conc,DO%
M/D/Y,hh:mm:ss,C,V,mg/L,%
08/15/09,2:40,11.37,5.9,18.22,166.8
08/15/09,2:50,11.35,5.9,17.85,163.3
08/15/09,3:00,11.35,5.9,17.86,163.4
08/15/09,3:10,11.36,5.9,17.61,161.1
08/15/09,3:20,11.34,5.9,17.96,164.2
08/15/09,3:30,11.37,5.9,17.93,164.1
08/15/09,3:40,11.37,5.9,17.91,163.9
08/15/09,3:50,11.39,5.9,17.62,161.3
08/15/09,4:00,11.41,5.9,17.81,163.1
08/15/09,4:10,11.47,5.9,18.07,165.8
08/15/09,4:20,11.42,5.9,18.05,165.4
08/15/09,4:30,11.44,5.9,18.03,165.3
08/15/09,4:40,11.46,5.9,17.93,164.4
08/15/09,4:50,11.44,5.9,17.84,163.6
08/15/09,5:00,11.45,5.9,17.87,163.8
08/15/09,5:10,11.42,5.9,17.78,162.9
08/15/09,5:20,11.33,5.9,17.69,161.8
08/15/09,5:30,11.41,5.9,17.66,161.8
08/15/09,5:40,11.41,5.9,17.6,161.3
08/15/09,5:50,11.38,5.9,17.77,162.6
08/15/09,6:00,11.46,5.9,17.53,160.8
08/15/09,6:10,11.47,5.9,17.84,163.6
08/15/09,6:20,11.35,5.9,17.83,163.1
08/15/09,6:30,11.36,5.9,17.67,161.7
08/15/09,6:40,11.32,5.9,17.44,159.4
08/15/09,6:50,11.31,5.9,17.42,159.3
08/15/09,7:00,11.35,5.9,17.14,156.8
08/15/09,7:10,11.41,5.9,17.58,161
08/15/09,7:20,11.47,5.9,17.87,164
08/15/09,7:30,11.45,5.9,17.65,161.9
08/15/09,7:40,11.43,5.9,17.46,160.1
08/15/09,7:50,11.45,5.9,17.64,161.8
08/15/09,8:00,11.49,5.9,17.5,160.7
08/15/09,8:10,11.4,5.9,17.49,160.2
08/15/09,8:20,11.36,5.9,17.49,160
08/15/09,8:30,11.34,5.9,17.68,161.7
08/15/09,8:40,11.44,5.9,17.25,158.1
08/15/09,8:50,11.37,5.9,17.18,157.2
08/15/09,9:00,11.44,5.9,17.34,158.9
08/15/09,9:10,11.35,5.9,17.68,161.8
08/15/09,9:20,11.47,5.9,17.87,163.9
08/15/09,9:30,11.39,5.9,17.91,164
08/15/09,9:40,11.39,5.9,17.8,163
