Year,Day of Year,Time,Wind Speed (mph),Solar Radiation (W/m2)
2012,120,900,0.629,482.6
2012,120,1000,2.776,668.1
2012,120,1100,0.629,737
2012,120,1200,2.597,794
2012,120,1300,8.59,784
2012,120,1400,5.668,656.9
2012,120,1500,0.629,556.7
2012,120,1600,0.629,412.5
2012,120,1700,0.629,302.1
2012,120,1800,2.955,105.2
2012,120,1900,0.629,26.25
2012,120,2000,0.629,0
2012,120,2100,0.927,0
2012,120,2200,1.911,0
2012,120,2300,0.629,0
2012,120,2400,5.34,0
2012,121,100,6.026,0.164
2012,121,200,2.179,0
2012,121,300,2.388,0
2012,121,400,4.565,0
2012,121,500,2.03,0
2012,121,600,0.629,2.135
2012,121,700,0.629,19.22
2012,121,800,3.491,48.29
2012,121,900,4.446,70.3
2012,121,1000,1.434,129.6
2012,121,1100,0.629,185.7
2012,121,1200,0.629,186.2
2012,121,1300,0.629,176
2012,121,1400,0.629,302.8
2012,121,1500,0.629,181.7
2012,121,1600,0.629,155.6
2012,121,1700,7.76,54.83
2012,121,1800,3.819,77.7
2012,121,1900,3.819,72.6
2012,121,2000,3.521,1.97
2012,121,2100,0.629,0
2012,121,2200,4.475,0
2012,121,2300,0.629,0
2012,121,2400,0.629,0
