SampleID,Year,Lake,Habitat,Site,Depth,Week,Date,Type,Taxon,Trophic,Length,Weight,Tissue,GutID,FishID,d15N,d13C,dD,AnalyzedForBatt2012,Notes
F-1320,2012,Ward,All,B,NA,3,18-Jul-12,Fish,FHM,2,52,1.5,Whole,NA,NA,3.93,-34.86,-160.6,No
F-1322,2012,Ward,All,B,NA,3,18-Jul-12,Fish,CMM,2,89,8,Whole,NA,NA,5.73,-30.69,-152,No
F-1328,2012,Ward,All,B,NA,3,18-Jul-12,Fish,FHM,2,82,4.8,Whole,NA,NA,2.78,-32.09,-154.3,No
F-1329,2012,Ward,All,B,NA,3,18-Jul-12,Fish,FHM,NA,NA,NA,Guts,NA,F-1328,-0.36,-35.85,-181.4,No
F-1338,2012,Ward,All,A,NA,3,18-Jul-12,Fish,YWP,2,79,5,Whole,NA,NA,6.74,-31.88,-156.2,No
F-1354,2012,Ward,All,A,NA,4,14-Aug-12,Fish,BHD2,3,148,44,Whole,NA,NA,5.92,-30.07,-142.8,No
F-1356,2012,Ward,All,A,NA,4,14-Aug-12,Fish,CMM,3,93,8.7,Whole,NA,NA,5.73,-30.34,-150.1,No
F-1358,2012,Ward,All,A,NA,4,14-Aug-12,Fish,CMM,2,49,1.4,Whole,NA,NA,1.57,-32.28,-140.6,No
F-1360,2012,Ward,All,A,NA,4,14-Aug-12,Fish,BHD1,2,48,1.8,Whole,NA,NA,4.84,-30.47,-142.8,No
F-1364,2012,Ward,All,A,NA,4,14-Aug-12,Fish,CMM,2,62,3.2,Whole,NA,NA,4.98,-30.57,-151.8,No
F-1366,2012,Ward,All,A,NA,4,14-Aug-12,Fish,BHD1,2,53,1.9,Whole,NA,NA,5.41,-31.19,-147.7,No
F-1372,2012,Ward,All,B,NA,4,14-Aug-12,Fish,DAC,2,45,0.9,Whole,NA,NA,2.8,-27.43,-148,No
F-1374,2012,Ward,All,B,NA,4,14-Aug-12,Fish,BHD1,2,52,1.8,Whole,NA,NA,5.37,-31.56,-149.1,No
F-1376,2012,Ward,All,B,NA,4,14-Aug-12,Fish,BHD2,3,130,29.7,Whole,NA,NA,5.35,-30.7,-164.9,No
F-1381,2012,Ward,All,B,NA,4,14-Aug-12,Fish,DAC,NA,NA,NA,Guts,NA,F-1380,4.17,-25.13,-279.8,No
F-1382,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,2,46,0.9,Whole,NA,NA,2.77,-29.63,-155.2,No
F-1384,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,2,51,1,Whole,NA,NA,2.53,-32.08,-147.4,No
F-1386,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,2,52,1.1,Whole,NA,NA,0.62,-34.5,-173.7,No
F-1388,2012,Ward,All,C,NA,4,14-Aug-12,Fish,DAC,2,48,0.8,Whole,NA,NA,4.45,-31.91,-165.5,No
F-1390,2012,Ward,All,C,NA,4,14-Aug-12,Fish,BHD1,2,52,1.7,Whole,NA,NA,6.01,-31.81,-146.8,No
F-1392,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,2,83,5.9,Whole,NA,NA,2.19,-34.94,-187.5,No
F-1393,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,NA,NA,NA,Guts,NA,F-1392,-1.95,-37.35,-237.1,No
F-1394,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,2,85,6,Whole,NA,NA,2.47,-34.07,-180.7,No
F-1395,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,NA,NA,NA,Guts,NA,F-1394,0.81,-36.05,-200.6,No
F-1400,2012,Ward,All,C,NA,4,14-Aug-12,Fish,PKS,2,41,1,Whole,NA,NA,6,-30.12,-160.4,No
F-1402,2012,Ward,All,C,NA,4,14-Aug-12,Fish,BHD1,2,49,1.5,Whole,NA,NA,5.35,-31.63,-152,No
F-1406,2012,Ward,All,C,NA,4,14-Aug-12,Fish,DAC,2,73,3.3,Whole,NA,NA,3.73,-29.29,-179.8,No
F-1416,2012,Ward,All,A,NA,4,15-Aug-12,Fish,PKS,2,60,4.1,Whole,NA,NA,4.9,-31.69,-178.3,No
F-1422,2012,Ward,All,A,NA,4,16-Aug-12,Fish,PKS,2,64,4.6,Whole,NA,NA,4.57,-31.61,-181.4,No
G-0702,2010,Ward,All,B,NA,1,26-May-10,Guts,FHM,NA,NA,NA,Guts,NA,NA,4.48,-32.14,-199.6,No
G-0714,2010,Ward,All,C,NA,1,26-May-10,Guts,FHM,NA,NA,NA,Guts,NA,NA,4.58,-34.12,-227.7,No
G-0717,2010,Ward,All,E,NA,1,26-May-10,Guts,FHM,NA,NA,NA,Guts,NA,NA,4.32,-29.92,-216,No
G-0761,2010,Ward,All,E,NA,2,24-Jun-10,Guts,FHM,NA,NA,NA,Guts,NA,NA,4.14,-30.6,-190.4,No
G-0801,2010,Ward,All,D,NA,4,18-Aug-10,Guts,YWP,NA,NA,NA,Guts,NA,NA,3.1,-30.24,-218.6,No
