SampleID,Year,Lake,Habitat,Site,Depth,Week,Date,Type,Taxon,Trophic,Length,Weight,Tissue,GutID,FishID,d15N,d13C,dD,AnalayzedForBatt2012,Notes
F-1124,2012,Ward,All,C,NA,2,20-Jun-12,Fish,FHM,,NA,NA,Guts,NA,F-1123,NA,NA,-245.3,No,
F-1131,2012,Ward,All,C,NA,2,20-Jun-12,Fish,CMM,,57,1.9,Whole,NA,NA,NA,NA,-179.2,No,
F-1133,2012,Ward,All,C,NA,2,20-Jun-12,Fish,BHD,,95,12.8,Whole,NA,NA,NA,NA,-170.1,No,
F-1143,2012,Ward,All,B,NA,2,20-Jun-12,Fish,DAC,,47,1.1,Whole,NA,NA,NA,NA,-168.6,No,
F-1161,2012,Ward,All,B,NA,2,20-Jun-12,Fish,CMM,,53,1.6,Whole,NA,NA,NA,NA,-155,No,
F-1163,2012,Ward,All,B,NA,2,20-Jun-12,Fish,DAC,,57,1.7,Whole,NA,NA,NA,NA,-162.8,No,
F-1173,2012,Ward,All,B,NA,2,20-Jun-12,Fish,DAC,,49,1,Whole,NA,NA,NA,NA,-191.5,No,
F-1177,2012,Ward,All,B,NA,2,20-Jun-12,Fish,BHD,,104,13.1,Whole,NA,NA,NA,NA,-153.1,No,
F-1185,2012,Ward,All,C,NA,2,20-Jun-12,Fish,CMM,,63,2.6,Whole,NA,NA,NA,NA,-172.5,No,
F-1189,2012,Ward,All,A,NA,2,20-Jun-12,Fish,CMM,,87,5.5,Whole,NA,NA,NA,NA,-126.6,No,
F-1205,2012,Ward,All,A,NA,2,20-Jun-12,Fish,FHM,,82,7.3,Whole,NA,NA,NA,NA,-193.5,No,
F-1206,2012,Ward,All,A,NA,2,20-Jun-12,Fish,FHM,,NA,NA,Guts,NA,F-1205,NA,NA,-205.7,No,
F-1209,2012,Ward,All,A,NA,2,20-Jun-12,Fish,CMM,,87,7.2,Whole,NA,NA,NA,NA,-161.7,No,
F-1229,2012,Ward,All,A,NA,2,20-Jun-12,Fish,FHM,,87,7,Whole,NA,NA,NA,NA,-175.3,No,
F-1233,2012,Ward,All,B,NA,2,20-Jun-12,Fish,PKS,,81,10.9,Whole,NA,NA,NA,NA,-189.9,No,
F-1240,2012,Ward,All,A,NA,3,17-Jul-12,Fish,BHD,,126,23,Whole,NA,NA,NA,NA,-160.9,No,
F-1242,2012,Ward,All,A,NA,3,17-Jul-12,Fish,BHD,,140,35.4,Whole,NA,NA,NA,NA,-154.5,No,
F-1244,2012,Ward,All,A,NA,3,17-Jul-12,Fish,BHD,,147,35.1,Whole,NA,NA,NA,NA,-156,No,
F-1246,2012,Ward,All,A,NA,3,17-Jul-12,Fish,CMM,,94,8.8,Whole,NA,NA,NA,NA,-164.6,No,
F-1260,2012,Ward,All,B,NA,3,17-Jul-12,Fish,DAC,,59,1.6,Whole,NA,NA,NA,NA,-161.7,No,
F-1262,2012,Ward,All,B,NA,3,17-Jul-12,Fish,DAC,,58,1.8,Whole,NA,NA,NA,NA,-163.1,No,
