Lake,Year,Date,DoY,Depth,Temp,DO
Ward,2012,2012-08-28,241,3,12,0.35
Ward,2012,2012-08-28,241,3.5,9.6,0.32
Ward,2012,2012-08-28,241,4,8.4,0.31
Ward,2012,2012-08-28,241,4.5,7.5,0.30
Ward,2012,2012-08-28,241,5,6.9,0.28
Ward,2012,2012-08-28,241,5.5,6.6,0.28
Ward,2012,2012-08-28,241,6,6.3,0.27
Ward,2012,2012-08-28,241,6.5,6.2,0.27
Ward,2012,2012-08-28,241,7,6.1,0.26
Ward,2010,2010-05-19,139,0,17.8,9.9
Ward,2010,2010-05-19,139,0.5,17.4,9.4
Ward,2010,2010-05-19,139,1,16.7,10.5
Ward,2010,2010-05-19,139,1.5,14.2,10.6
Ward,2010,2010-05-19,139,2,13.4,10.9
Ward,2010,2010-05-19,139,2.5,12.4,10.9
Ward,2010,2010-05-19,139,3,11.6,10.4
Ward,2010,2010-05-19,139,3.5,10.8,10.4
Ward,2010,2010-05-19,139,4,9.4,6.8
Ward,2010,2010-05-19,139,4.5,8.1,3.3
Ward,2010,2010-05-19,139,5,6.7,0.5
Ward,2010,2010-05-19,139,5.5,6.3,0.2
Ward,2010,2010-05-19,139,6,6,0.1
Ward,2010,2010-05-19,139,6.5,6,0.1
Ward,2010,2010-05-19,139,7,6,0.1
Ward,2010,2010-05-19,139,8,6,0.1
Ward,2010,2010-05-19,139,9,6,0.1
Ward,2010,2010-05-26,146,0,23.1,6.5
Ward,2010,2010-05-26,146,0.5,23.1,6.4
Ward,2010,2010-05-26,146,1,22.3,7.0
Ward,2010,2010-05-26,146,1.5,19.1,8.5
Ward,2010,2010-05-26,146,2,16.3,9.7
Ward,2010,2010-05-26,146,2.5,14.3,9.3
Ward,2010,2010-05-26,146,3,12.9,8.7
Ward,2010,2010-05-26,146,3.5,11.8,8.4
Ward,2010,2010-05-26,146,4,10.1,8.2
Ward,2010,2010-05-26,146,4.5,8.2,2.2
Ward,2010,2010-05-26,146,5,7.2,0.5
Ward,2010,2010-05-26,146,5.5,6.6,0.2
Ward,2010,2010-05-26,146,6,6.3,0.1
Ward,2010,2010-05-26,146,6.5,6.2,0.1
Ward,2010,2010-05-26,146,7,6.1,0.1
Ward,2010,2010-06-02,153,0,22.6,6.6
Ward,2010,2010-06-02,153,0.5,22.6,6.7
Ward,2010,2010-06-02,153,1,22.5,6.4
Ward,2010,2010-06-02,153,1.5,22.4,6.3
Ward,2010,2010-06-02,153,2,20.2,9.5
Ward,2010,2010-06-02,153,2.5,16.7,9.4
Ward,2010,2010-06-02,153,3,14.5,9.2
Ward,2010,2010-06-02,153,3.5,12.8,9.0
Ward,2010,2010-06-02,153,4,10.9,10.7
Ward,2010,2010-06-02,153,4.5,9.2,4.6
Ward,2010,2010-06-02,153,5,7.7,0.5
Ward,2010,2010-06-02,153,5.5,6.8,0.2
Ward,2010,2010-06-02,153,6,6.5,0.2
Ward,2010,2010-06-02,153,6.5,6.3,0.2
Ward,2010,2010-06-02,153,7,6.2,0.1
Ward,2010,2010-06-02,153,8,6.2,0.1
Ward,2010,2010-06-09,160,0,17.9,8.6
Ward,2010,2010-06-09,160,0.5,17.9,8.5
Ward,2010,2010-06-09,160,1,17.8,8.6
Ward,2010,2010-06-09,160,1.5,17.8,8.5
Ward,2010,2010-06-09,160,2,17.6,8.6
Ward,2010,2010-06-09,160,2.5,17.3,9.0
Ward,2010,2010-06-09,160,3,15.5,9.7
Ward,2010,2010-06-09,160,3.5,13.5,9.6
Ward,2010,2010-06-09,160,4,11.5,12.4
Ward,2010,2010-06-09,160,4.5,9.5,6.0
Ward,2010,2010-06-09,160,5,8,1.2
Ward,2010,2010-06-09,160,5.5,6.9,0.2
Ward,2010,2010-06-09,160,6,6.6,0.2
Ward,2010,2010-06-09,160,6.5,6.4,0.1
Ward,2010,2010-06-09,160,7,6.4,0.1
Ward,2010,2010-06-16,167,0,18.4,8.3
Ward,2010,2010-06-16,167,0.5,18.4,8.2
Ward,2010,2010-06-16,167,1,18.4,8.2
Ward,2010,2010-06-16,167,1.5,18.4,8.0
Ward,2010,2010-06-16,167,2,18.1,8.0
Ward,2010,2010-06-16,167,2.5,16.9,8.0
Ward,2010,2010-06-16,167,3,15.6,8.5
Ward,2010,2010-06-16,167,3.5,13.1,9.7
Ward,2010,2010-06-16,167,4,11.9,12.8
Ward,2010,2010-06-16,167,4.5,10.1,4.6
Ward,2010,2010-06-16,167,5,8.5,1.3
Ward,2010,2010-06-16,167,5.5,7.2,0.4
Ward,2010,2010-06-16,167,6,6.7,0.2
Ward,2010,2010-06-16,167,6.5,6.4,0.2
Ward,2010,2010-06-16,167,7,6.3,0.1
Ward,2010,2010-06-23,174,0,23.2,8.0
Ward,2010,2010-06-23,174,0.5,23.4,7.9
Ward,2010,2010-06-23,174,1,23,7.8
Ward,2010,2010-06-23,174,1.5,21.8,8.4
Ward,2010,2010-06-23,174,2,20.1,8.3
Ward,2010,2010-06-23,174,2.5,18.8,8.6
Ward,2010,2010-06-23,174,3,16.2,6.3
Ward,2010,2010-06-23,174,3.5,14.4,7.7
Ward,2010,2010-06-23,174,4,12.3,13.9
Ward,2010,2010-06-23,174,4.5,10,6.1
Ward,2010,2010-06-23,174,5,8.4,0.9
Ward,2010,2010-06-23,174,5.5,7.7,0.4
Ward,2010,2010-06-23,174,6,7.2,0.3
Ward,2010,2010-06-23,174,6.5,7,0.2
Ward,2010,2010-06-23,174,7,7,0.2
Ward,2010,2010-06-30,181,0,21.2,8.5
Ward,2010,2010-06-30,181,0.5,21.2,8.6
Ward,2010,2010-06-30,181,1,21,8.5
Ward,2010,2010-06-30,181,1.5,20.9,8.3
Ward,2010,2010-06-30,181,2,20.5,8.4
Ward,2010,2010-06-30,181,2.5,18.4,7.9
Ward,2010,2010-06-30,181,3,16.2,5.0
Ward,2010,2010-06-30,181,3.5,14.1,2.6
Ward,2010,2010-06-30,181,4,12.1,10.0
Ward,2010,2010-06-30,181,4.5,10.3,0.8
Ward,2010,2010-06-30,181,5,8.7,0.4
Ward,2010,2010-06-30,181,5.5,7.6,0.3
Ward,2010,2010-06-30,181,6,7,0.2
Ward,2010,2010-06-30,181,6.5,6.8,0.1
Ward,2010,2010-06-30,181,7,6.7,0.1
Ward,2010,2010-07-07,188,0,25.5,8.6
Ward,2010,2010-07-07,188,0.5,25.3,8.5
Ward,2010,2010-07-07,188,0.75,24.9,8.3
Ward,2010,2010-07-07,188,1,24.8,8.1
Ward,2010,2010-07-07,188,1.5,23.7,9.0
Ward,2010,2010-07-07,188,2,21.8,9.6
Ward,2010,2010-07-07,188,2.5,18.6,9.3
Ward,2010,2010-07-07,188,3,16.6,7.0
Ward,2010,2010-07-07,188,3.5,14.6,6.2
Ward,2010,2010-07-07,188,4,12.5,2.1
Ward,2010,2010-07-07,188,4.5,10.4,1.0
Ward,2010,2010-07-07,188,5,9,0.5
Ward,2010,2010-07-07,188,5.5,7.7,0.3
Ward,2010,2010-07-07,188,6,7.1,0.2
Ward,2010,2010-07-07,188,6.5,6.9,0.2
Ward,2010,2010-07-07,188,6.75,6.7,0.1
Ward,2010,2010-07-14,195,0,24.1,8.3
Ward,2010,2010-07-14,195,0.5,24.1,8.3
Ward,2010,2010-07-14,195,1,24,8.4
Ward,2010,2010-07-14,195,1.5,23.9,8.2
Ward,2010,2010-07-14,195,2,23.2,8.9
Ward,2010,2010-07-14,195,2.5,20.3,10.3
Ward,2010,2010-07-14,195,3,17.4,6.8
Ward,2010,2010-07-14,195,3.5,14.7,5.5
Ward,2010,2010-07-14,195,4,12.5,3.9
Ward,2010,2010-07-14,195,4.5,10.6,1.2
Ward,2010,2010-07-14,195,5,8.8,0.3
Ward,2010,2010-07-14,195,5.5,7.7,0.2
Ward,2010,2010-07-14,195,6,7.2,0.2
Ward,2010,2010-07-14,195,6.5,7,0.1
Ward,2010,2010-07-21,202,0,23.9,8.8
Ward,2010,2010-07-21,202,0.5,23.8,8.7
Ward,2010,2010-07-21,202,1,23.7,8.7
Ward,2010,2010-07-21,202,1.5,23.3,8.4
Ward,2010,2010-07-21,202,2,23.1,8.6
Ward,2010,2010-07-21,202,2.5,20.7,10.3
Ward,2010,2010-07-21,202,3,17,1.0
Ward,2010,2010-07-21,202,3.5,15.1,0.3
Ward,2010,2010-07-21,202,4,12.6,0.2
Ward,2010,2010-07-21,202,4.5,10.7,0.2
Ward,2010,2010-07-21,202,5,9.1,0.1
Ward,2010,2010-07-21,202,5.5,7.9,0.1
Ward,2010,2010-07-21,202,6,7.3,0.1
Ward,2010,2010-07-21,202,6.5,7.1,0.1
Ward,2010,2010-07-21,202,7,7.1,0.1
Ward,2010,2010-07-28,209,0,23.6,7.3
Ward,2010,2010-07-28,209,0.5,23.6,7.2
Ward,2010,2010-07-28,209,1,23.5,7.2
Ward,2010,2010-07-28,209,1.5,23.4,7.1
Ward,2010,2010-07-28,209,2,23.1,7.0
Ward,2010,2010-07-28,209,2.5,21,7.9
Ward,2010,2010-07-28,209,3,18.2,2.6
Ward,2010,2010-07-28,209,3.5,15.7,0.5
Ward,2010,2010-07-28,209,4,13.4,0.3
Ward,2010,2010-07-28,209,4.5,11.1,0.5
Ward,2010,2010-07-28,209,5,9.2,0.2
Ward,2010,2010-07-28,209,5.5,8,0.2
Ward,2010,2010-07-28,209,6,7.4,0.1
Ward,2010,2010-07-28,209,6.5,7.2,0.1
Ward,2010,2010-07-28,209,6.75,7,0.1
Ward,2010,2010-08-04,216,0,24.5,7.4
Ward,2010,2010-08-04,216,0.5,24.6,7.2
Ward,2010,2010-08-04,216,1,24.5,6.5
Ward,2010,2010-08-04,216,1.5,23.9,5.7
Ward,2010,2010-08-04,216,2,23.2,6.7
Ward,2010,2010-08-04,216,2.5,21.4,8.4
Ward,2010,2010-08-04,216,3,18.9,3.2
Ward,2010,2010-08-04,216,3.5,16.2,0.3
Ward,2010,2010-08-04,216,4,13.9,0.2
Ward,2010,2010-08-04,216,4.5,11.5,0.2
Ward,2010,2010-08-04,216,5,9.6,0.1
Ward,2010,2010-08-04,216,5.5,8.3,0.1
Ward,2010,2010-08-04,216,6,7.6,0.1
Ward,2010,2010-08-04,216,6.5,7.2,0.1
Ward,2010,2010-08-11,223,0,25.4,7.1
Ward,2010,2010-08-11,223,0.5,25.3,7.1
Ward,2010,2010-08-11,223,1,25.3,7.0
Ward,2010,2010-08-11,223,1.5,24.2,6.7
Ward,2010,2010-08-11,223,2,23,6.4
Ward,2010,2010-08-11,223,2.5,21.4,5.5
Ward,2010,2010-08-11,223,3,19.1,1.6
Ward,2010,2010-08-11,223,3.5,16.4,0.4
Ward,2010,2010-08-11,223,4,13.8,0.2
Ward,2010,2010-08-11,223,4.5,11.5,0.2
Ward,2010,2010-08-11,223,5,9.8,0.2
Ward,2010,2010-08-11,223,5.5,8.5,0.2
Ward,2010,2010-08-11,223,6,7.7,0.2
Ward,2010,2010-08-11,223,6.5,7.3,0.1
Ward,2010,2010-08-18,230,0,20.9,7.1
Ward,2010,2010-08-18,230,0.5,21,6.8
Ward,2010,2010-08-18,230,1,21,6.6
Ward,2010,2010-08-18,230,1.5,20.9,6.6
Ward,2010,2010-08-18,230,2,20.9,6.5
Ward,2010,2010-08-18,230,2.5,20.7,5.0
Ward,2010,2010-08-18,230,3,19.4,1.3
Ward,2010,2010-08-18,230,3.5,16.1,0.2
Ward,2010,2010-08-18,230,4,13.9,0.1
Ward,2010,2010-08-18,230,4.5,11.5,0.1
Ward,2010,2010-08-18,230,5,9.7,0.1
Ward,2010,2010-08-18,230,5.5,8.7,0.2
Ward,2010,2010-08-18,230,6,7.8,0.2
Ward,2010,2010-08-18,230,6.5,7.4,0.2
Ward,2010,2010-08-18,230,7,7.3,0.1
Ward,2010,2010-08-18,230,8,7.2,0.1
Ward,2010,2010-08-25,237,0,21.1,7.2
Ward,2010,2010-08-25,237,0.5,21.1,7.0
Ward,2010,2010-08-25,237,1,21.1,7.0
Ward,2010,2010-08-25,237,1.5,21.1,7.0
Ward,2010,2010-08-25,237,2,21.1,6.6
Ward,2010,2010-08-25,237,2.5,20.4,4.2
Ward,2010,2010-08-25,237,3,19.1,0.8
