"datetime" "do.obs" "do.sat" "wtr" "z.mix" "baro" "z1perc" "irr" "wnd" "top" "k600.cole" "k.gas"
2010-07-03 17:15:00 9.44719185162347 8.03366471834693 25.45 0.5 959.999989774093 3.8 1111.2 2.36787321491635 0.5 0.720187597769578 0.87164219992458
2010-07-03 17:20:00 9.3778809265805 8.01608045715054 25.63 0.5 959.999989774093 3.8 1038.7 3.53907932121906 0.5 0.939147121780857 1.14139732060015
2010-07-03 17:25:00 9.51874943503379 7.99489934306776 25.85 0.5 959.999989774093 3.8 1033.7 3.53907932121906 0.5 0.939147121780857 1.1472225784677
2010-07-03 17:30:00 9.42943006386957 7.97782152068048 26.03 0.5 959.999989774093 3.8 988.7 3.3099303004207 0.5 0.891567820826148 1.09364370506112
2010-07-03 17:35:00 9.61818740285476 7.99776765337846 25.82 0.5 959.999989774093 3.8 983.7 3.3099303004207 0.5 0.891567820826148 1.08834624826006
2010-07-03 17:40:00 9.55841276725097 7.99013282389216 25.9 0.5 959.999989774093 3.8 938.7 2.12599369296253 0.5 0.682796620666215 0.835040608046299
2010-07-03 17:45:00 9.66698246256382 8.01705133760656 25.62 0.5 959.999989774093 3.8 971.2 3.53907932121906 0.5 0.939147121780857 1.14113310104637
2010-07-03 17:50:00 9.56790061555755 7.99489934306776 25.85 0.5 959.999989774093 3.8 893.7 2.5970222357147 0.5 0.758171564448111 0.926150458128124
2010-07-03 17:55:00 9.53734152715041 8.00064227257584 25.79 0.5 959.999989774093 3.8 858.7 3.78095884317288 0.5 0.991763320559345 1.20981607330048
2010-07-03 18:00:00 9.55724598918424 7.99968336469431 25.8 0.5 959.999989774093 3.8 841.2 4.01010786397123 0.5 1.04383484914541 1.27363084350531
2010-07-03 18:05:00 9.56576120529188 8.02777774903288 25.51 0.5 959.999989774093 3.8 771.2 3.06805077846688 0.5 0.843789253911501 1.02265777930543
2010-07-03 18:10:00 9.49659327765497 8.00737429704071 25.72 0.5 959.999989774093 3.8 753.7 3.3099303004207 0.5 0.891567820826148 1.08583115014765
2010-07-03 18:15:00 9.60723274427188 7.98823110862469 25.92 0.5 959.999989774093 3.8 651.2 4.01010786397123 0.5 1.04383484914541 1.2771704735396
