"datetime" "wtr" "SpCond" "pH" "DOsat" "do.obs" "Chl_conc" "z.mix" "irr" "wnd" "do.sat" "k600.cole" "k.gas"
2012-06-16 02:55:00 21.29 0.015 6.72 96.3 8.54 1.8 1.96145099906804 1.2 0 8.50829755971903 0.4968 0.544947711039881
2012-06-16 03:00:00 21.3 0.015 6.72 96.8 8.58 2.6 1.92413891598441 1.2 0 8.50698910162313 0.4968 0.545079977349953
2012-06-16 03:05:00 21.27 0.015 6.73 96.8 8.58 2.6 1.92413891598441 1.2 0 8.51091705892047 0.4968 0.544683217358199
2012-06-16 03:10:00 21.26 0.015 6.73 96.7 8.58 2.9 1.97536115951185 1.2 0 8.5122281008578 0.4968 0.544550989975378
2012-06-16 03:15:00 21.26 0.015 6.73 96.4 8.55 2.2 1.97976371201717 1.2 0 8.5122281008578 0.4968 0.544550989975378
2012-06-16 03:20:00 21.24 0.015 6.73 96.7 8.58 1.9 1.96145099906804 1.2 0 8.5148527714875 0.4968 0.544286574098332
2012-06-16 03:25:00 21.25 0.015 6.73 96.4 8.56 2.6 1.97976371201717 1.2 0 8.51354000490792 0.4968 0.544418775557226
2012-06-16 03:30:00 21.26 0.015 6.73 97 8.6 1.8 1.97976371201717 1.2 0.24187952195382 8.5122281008578 0.501421342690693 0.549616522860307
2012-06-16 03:35:00 21.26 0.014 6.72 97.3 8.63 2.4 1.96145099906804 1.2 0.24187952195382 8.5122281008578 0.501421342690693 0.549616522860307
2012-06-16 03:40:00 21.29 0.015 6.72 96.7 8.57 2.9 1.97976371201717 1.2 0 8.50829755971903 0.4968 0.544947711039881
2012-06-16 03:45:00 21.34 0.015 6.72 96.9 8.58 2.1 1.97976371201717 1.2 0 8.50176386958184 0.4968 0.545609172519512
2012-06-16 03:50:00 21.3 0.015 6.72 96.8 8.58 1.8 1.97976371201717 1.2 0 8.50698910162313 0.4968 0.545079977349953
2012-06-16 03:55:00 21.34 0.015 6.72 96.3 8.52 2.9 1.97536115951185 1.2 0 8.50176386958184 0.4968 0.545609172519512
2012-06-16 04:00:00 21.33 0.014 6.72 96.7 8.57 2.6 1.97536115951185 1.2 0 8.50306888837045 0.4968 0.545476854225976
2012-06-16 04:05:00 21.33 0.014 6.72 96.9 8.58 2 1.95386436612391 1.2 0 8.50306888837045 0.4968 0.545476854225976
2012-06-16 04:10:00 21.34 0.014 6.72 96.9 8.59 2.5 1.96145099906804 1.2 0 8.50176386958184 0.4968 0.545609172519512
2012-06-16 04:15:00 21.34 0.014 6.72 97 8.59 2.5 1.97976371201717 1.2 0 8.50176386958184 0.4968 0.545609172519512
2012-06-16 04:20:00 21.39 0.014 6.72 96.8 8.57 1.7 1.97536115951185 1.2 0 8.49525164922373 0.4968 0.546270959271966
2012-06-16 04:25:00 21.37 0.014 6.71 97 8.59 1.5 1.96145099906804 1.2 0 8.49785396430401 0.4968 0.546006205489184
2012-06-16 04:30:00 21.4 0.014 6.72 97.5 8.63 1.9 1.97976371201717 1.2 0 8.49395177697614 0.4968 0.546403355723305
2012-06-16 04:35:00 21.4 0.014 6.71 97.4 8.61 3.9 1.97976371201717 1.2 0 8.49395177697614 0.4968 0.546403355723305
2012-06-16 04:40:00 21.52 0.014 6.71 97.1 8.57 2.5 1.96145099906804 1.2 0 8.47841998469683 0.4968 0.547993132873169
2012-06-16 04:45:00 21.34 0.014 6.71 97.5 8.63 2.3 1.97536115951185 1.2 0.471028542752177 8.50176386958184 0.511149275820669 0.561368223459065
2012-06-16 04:50:00 21.29 0.014 6.71 97.5 8.65 2.4 1.97976371201717 1.2 0.471028542752177 8.50829755971903 0.511149275820669 0.560687656719338
2012-06-16 04:55:00 21.31 0.014 6.71 97.2 8.61 1.9 1.97536115951185 1.2 0.471028542752177 8.50568150397644 0.511149275820669 0.560959843304599
2012-06-16 05:00:00 21.32 0.014 6.71 97.1 8.6 1.7 1.97976371201717 3.7 0.471028542752177 8.50437476636382 0.511149275820669 0.561095956646497
2012-06-16 05:05:00 21.34 0.014 6.71 96.8 8.57 1.6 1.97536115951185 6.2 0.712908064705997 8.50176386958184 0.525827303824376 0.577488325539018
2012-06-16 05:10:00 21.36 0.014 6.71 96.1 8.51 1.5 1.97536115951185 11.2 0.24187952195382 8.49915640796235 0.501421342690693 0.550951686547069
2012-06-16 05:15:00 21.32 0.014 6.71 96.3 8.53 2.6 1.97536115951185 16.2 0.471028542752177 8.50437476636382 0.511149275820669 0.561095956646497
2012-06-16 05:20:00 21.32 0.014 6.71 95.8 8.49 1.9 1.96145099906804 23.7 0.471028542752177 8.50437476636382 0.511149275820669 0.561095956646497
2012-06-16 05:25:00 21.33 0.014 6.71 95.9 8.49 1.8 1.97976371201717 31.2 0.471028542752177 8.50306888837045 0.511149275820669 0.56123208336261
2012-06-16 05:30:00 21.32 0.014 6.71 95.7 8.48 1.6 1.97976371201717 38.7 0.24187952195382 8.50437476636382 0.501421342690693 0.550417463681808
2012-06-16 05:35:00 21.36 0.014 6.71 95.6 8.47 2.6 1.95386436612391 48.7 0 8.49915640796235 0.4968 0.545873848144964
2012-06-16 05:40:00 21.38 0.014 6.71 96 8.49 1.6 1.95386436612391 56.2 0.24187952195382 8.49655237819546 0.501421342690693 0.551218876820201
2012-06-16 05:45:00 21.41 0.014 6.71 96.1 8.5 1.6 1.95386436612391 63.7 0.24187952195382 8.49265276104036 0.501421342690693 0.551619760923378
2012-06-16 05:50:00 21.38 0.014 6.71 95.5 8.45 2 1.94260199245919 68.7 0.24187952195382 8.49655237819546 0.501421342690693 0.551218876820201
2012-06-16 05:55:00 21.38 0.014 6.71 95.4 8.44 2.1 1.95386436612391 73.7 0.471028542752177 8.49655237819546 0.511149275820669 0.561912917773689
2012-06-16 06:00:00 21.37 0.014 6.71 95.9 8.48 1.3 1.95386436612391 76.2 0.712908064705997 8.49785396430401 0.525827303824376 0.577908556569558
2012-06-16 06:05:00 21.33 0.014 6.71 95.9 8.49 2.1 1.95386436612391 146.2 0.24187952195382 8.50306888837045 0.501421342690693 0.550550999703472
2012-06-16 06:10:00 21.33 0.014 6.71 96.3 8.53 2.5 1.96145099906804 201.2 0.471028542752177 8.50306888837045 0.511149275820669 0.56123208336261
2012-06-16 06:15:00 21.32 0.014 6.7 95.9 8.5 1.9 1.96145099906804 233.7 0.712908064705997 8.50437476636382 0.525827303824376 0.577208240384357
2012-06-16 06:20:00 21.27 0.014 6.7 94.9 8.42 1.8 1.96145099906804 266.2 0.24187952195382 8.51091705892047 0.501421342690693 0.549749980251279
2012-06-16 06:25:00 21.31 0.014 6.7 95 8.42 2.7 1.96145099906804 298.7 0 8.50568150397644 0.4968 0.545212256647113
2012-06-16 06:30:00 21.29 0.014 6.7 96 8.51 1.7 1.97976371201717 213.7 0.471028542752177 8.50829755971903 0.511149275820669 0.560687656719338
2012-06-16 06:35:00 21.29 0.014 6.7 95.7 8.48 2.6 1.97976371201717 346.2 0.24187952195382 8.50829755971903 0.501421342690693 0.550016934311267
2012-06-16 06:40:00 21.28 0.014 6.71 95 8.43 1.8 1.97976371201717 366.2 0.24187952195382 8.50960687867957 0.501421342690693 0.549883450733059
2012-06-16 06:45:00 21.28 0.014 6.71 95.8 8.49 2.6 1.97976371201717 396.2 0 8.50960687867957 0.4968 0.544815457711178
2012-06-16 06:50:00 21.28 0.014 6.71 95.5 8.46 1.9 1.95326623680234 426.2 0 8.50960687867957 0.4968 0.544815457711178
2012-06-16 06:55:00 21.28 0.014 6.71 95 8.42 1.7 1.95326623680234 458.7 0.471028542752177 8.50960687867957 0.511149275820669 0.560551583464121
2012-06-16 07:00:00 21.29 0.014 6.71 95.5 8.46 1.3 1.95326623680234 491.2 0.471028542752177 8.50829755971903 0.511149275820669 0.560687656719338
2012-06-16 07:05:00 21.29 0.014 6.71 95.8 8.49 2.1 1.95326623680234 481.2 0.24187952195382 8.50829755971903 0.501421342690693 0.550016934311267
2012-06-16 07:10:00 21.3 0.014 6.71 95.5 8.46 1.8 1.95326623680234 511.2 0.712908064705997 8.50698910162313 0.525827303824376 0.576928210262838
2012-06-16 07:15:00 21.25 0.015 6.71 95.8 8.5 2.3 1.95326623680234 548.7 0.942057085504353 8.51354000490792 0.543420934685262 0.59550837333638
2012-06-16 07:20:00 21.21 0.015 6.71 95.8 8.51 1.8 1.941858685773 576.2 0.712908064705997 8.51879625057435 0.525827303824376 0.575668754456517
2012-06-16 07:25:00 21.21 0.015 6.71 95.8 8.5 2.7 1.95326623680234 638.7 0.712908064705997 8.51879625057435 0.525827303824376 0.575668754456517
2012-06-16 07:30:00 21.17 0.015 6.71 95.6 8.49 2 1.95326623680234 678.7 0.471028542752177 8.52406632343482 0.511149275820669 0.55905565756956
2012-06-16 07:35:00 21.15 0.015 6.71 95.8 8.52 1.5 1.95326623680234 766.2 0.24187952195382 8.52670655343349 0.501421342690693 0.548149354024118
2012-06-16 07:40:00 21.15 0.015 6.71 95.9 8.52 3.8 1.84713583001057 603.7 0.942057085504353 8.52670655343349 0.543420934685262 0.594062934602001
2012-06-16 07:45:00 21.15 0.015 6.71 96.1 8.54 1.6 1.92315800208416 388.7 0.942057085504353 8.52670655343349 0.543420934685262 0.594062934602001
2012-06-16 07:50:00 21.14 0.015 6.71 96 8.53 2.2 1.88688488651765 358.7 0.942057085504353 8.52802796829279 0.543420934685262 0.593918468479572
2012-06-16 07:55:00 21.13 0.015 6.71 95.8 8.52 2 1.88688488651765 403.7 1.18393660745817 8.52935025028542 0.565555598251139 0.617959665662912
