"datetime" "do.obs" "do.sat" "k.gas" "z.mix" "irr" "wtr" "wnd"
2010-06-03 13:05:00 9.09089586155711 8.34408783147847 0.850916426811622 1.5 1108.7 22.24 2.5970222357147
2010-06-03 13:10:00 9.12092892242971 8.3355501039547 0.728793171643086 1.5 558.7 22.31 1.88411417100871
2010-06-03 13:15:00 9.0906339770317 8.3416443942344 0.662134155682397 1.5 591.2 22.26 1.41308562825653
2010-06-03 13:20:00 9.11059121153716 8.3379853700741 0.610626490663217 1.5 1491.2 22.29 0.942057085504353
2010-06-03 13:25:00 9.19037672845322 8.34531077759617 0.562623951957166 1.5 696.2 22.23 0.24187952195382
2010-06-03 13:30:00 9.18025756708787 8.34653454255809 0.562489200433651 1.5 758.7 22.22 0.24187952195382
2010-06-03 13:35:00 9.3803062612262 8.33068935788051 0.559041738361469 1.5 756.2 22.35 0
2010-06-03 13:40:00 9.34034009985885 8.32221438574113 0.637477095090739 1.5 1186.2 22.42 1.18393660745817
2010-06-03 13:45:00 9.50043097790351 8.31017623399444 0.577529142524139 1.5 1378.7 22.52 0.471028542752177
2010-06-03 13:50:00 9.50029341493481 8.31257738998383 0.638695997289646 1.5 748.7 22.5 1.18393660745817
2010-06-03 13:55:00 9.58997973446015 8.31980027497196 0.612820280443451 1.5 861.2 22.44 0.942057085504353
2010-06-03 14:00:00 9.46014756536404 8.30299214075266 0.614870968972969 1.5 1601.2 22.58 0.942057085504353
2010-06-03 14:05:00 9.32993363014079 8.31017623399444 0.639000885178402 1.5 2081.2 22.52 1.18393660745817
2010-06-03 14:10:00 9.31971923138245 8.31738940744489 0.697599699149819 1.5 2018.7 22.46 1.65496515021035
2010-06-03 14:15:00 9.30961604499676 8.31137640790901 0.613845241219544 1.5 2013.7 22.51 0.942057085504353
2010-06-03 14:20:00 9.31938200378959 8.31980027497196 0.731061539854592 1.5 1961.2 22.44 1.88411417100871
2010-06-03 14:25:00 9.36958976198193 8.30060389120749 0.858266503533303 1.5 1926.2 22.6 2.5970222357147
2010-06-03 14:30:00 9.38954794781328 8.29702755175033 0.700434021634541 1.5 1913.7 22.63 1.65496515021035
2010-06-03 14:35:00 9.14900283444895 8.31859443599292 0.637934061983537 1.5 1788.7 22.45 1.18393660745817
2010-06-03 14:40:00 9.1789418854956 8.31618518894871 0.665466928502062 1.5 1881.2 22.47 1.41308562825653
2010-06-03 14:45:00 9.17895823753287 8.30897686786262 0.614138227756326 1.5 1873.7 22.53 0.942057085504353
2010-06-03 14:50:00 9.2186652697717 8.32100692476145 0.664831545049814 1.5 1843.7 22.43 1.41308562825653
2010-06-03 14:55:00 9.23844656175616 8.32221438574113 0.696933547198564 1.5 1863.7 22.42 1.65496515021035
2010-06-03 15:00:00 9.22848287985307 8.31377918059664 0.770915182152844 1.5 1831.2 22.49 2.12599369296253
2010-06-03 15:05:00 9.21861592948195 8.29941097378199 0.700100302998817 1.5 1861.2 22.61 1.65496515021035
2010-06-03 15:10:00 9.22859402009517 8.29464734431458 0.816239660855965 1.5 1856.2 22.65 2.36787321491635
2010-06-03 15:15:00 9.24868541196996 8.27689795251606 0.776628933272047 1.5 703.7 22.8 2.12599369296253
2010-06-03 15:20:00 9.21864431856482 8.2733696419955 0.671197708374061 1.5 1151.2 22.83 1.41308562825653
2010-06-03 15:25:00 9.19860327900696 8.26984849744497 0.671676292978104 1.5 458.7 22.86 1.41308562825653
2010-06-03 15:30:00 9.23860082145551 8.26399582056962 0.705113754022071 1.5 386.2 22.91 1.65496515021035
2010-06-03 15:35:00 9.2880743891165 8.28397611136 0.642358991957023 1.5 441.2 22.74 1.18393660745817
2010-06-03 15:40:00 9.28778074670161 8.29583704639507 0.595815419536233 1.5 518.7 22.64 0.712908064705997
2010-06-03 15:45:00 9.27760340712499 8.30060389120749 0.595247807591151 1.5 1738.7 22.6 0.712908064705997
2010-06-03 15:50:00 9.28746496264247 8.30299214075266 0.639915940864831 1.5 1153.7 22.58 1.18393660745817
2010-06-03 15:55:00 9.30708950761576 8.31377918059664 0.638543577761019 1.5 506.2 22.49 1.18393660745817
2010-06-03 16:00:00 9.28714726537285 8.3041874736231 0.667056573357328 1.5 1658.7 22.57 1.41308562825653
2010-06-03 16:05:00 9.35718529474064 8.29583704639507 0.615750779446804 1.5 368.7 22.64 0.942057085504353
2010-06-03 16:10:00 9.32722326112133 8.2875259796853 0.735782824535616 1.5 366.2 22.71 1.88411417100871
2010-06-03 16:15:00 9.32718175268526 8.27807565018286 0.643123320981058 1.5 408.7 22.79 1.18393660745817
2010-06-03 16:20:00 9.35712194257195 8.27572105217548 0.618246698129837 1.5 836.2 22.81 0.942057085504353
2010-06-03 16:25:00 9.34714042074995 8.26867637331298 0.599084003028648 1.5 421.2 22.87 0.712908064705997
2010-06-03 16:30:00 9.34715888523454 8.26166030532994 0.645265694179529 1.5 478.7 22.93 1.18393660745817
2010-06-03 16:35:00 9.41719577357378 8.24771368539489 0.601647861007604 1.5 1338.7 23.05 0.712908064705997
2010-06-03 16:40:00 9.53721419765832 8.24078297601746 0.622662784902947 1.5 1313.7 23.11 0.942057085504353
2010-06-03 16:45:00 9.46699883061128 8.24771368539489 0.707459095419457 1.5 356.2 23.05 1.65496515021035
2010-06-03 16:50:00 9.49691989551664 8.24655659884967 0.64725805584974 1.5 296.2 23.06 1.18393660745817
2010-06-03 16:55:00 9.57664465529668 8.25118967551354 0.621336387107682 1.5 501.2 23.02 0.942057085504353
2010-06-03 17:00:00 9.42652650889379 8.25234991692473 0.621189093526014 1.5 816.2 23.01 0.942057085504353
2010-06-03 17:05:00 9.59630999737263 8.25932796026956 0.620305681931867 1.5 1106.2 22.95 0.942057085504353
2010-06-03 17:10:00 9.63621133894958 8.25932796026956 0.620305681931867 1.5 1223.7 22.95 0.942057085504353
2010-06-03 17:15:00 9.57615201781002 8.25118967551354 0.674231458097587 1.5 1158.7 23.02 1.41308562825653
2010-06-03 17:20:00 9.66597460092522 8.25583538036546 0.673592235327716 1.5 1048.7 22.98 1.41308562825653
2010-06-03 17:25:00 9.68581670525738 8.25932796026956 0.600222853884141 1.5 1028.7 22.95 0.712908064705997
2010-06-03 17:30:00 9.69575761990129 8.25699878246234 0.645878416703134 1.5 1028.7 22.97 1.18393660745817
2010-06-03 17:35:00 9.71575821527103 8.24540030011362 0.707794448248257 1.5 983.7 23.07 1.65496515021035
2010-06-03 17:40:00 9.68569930558977 8.24309006461977 0.585407898610528 1.5 976.2 23.09 0.471028542752177
2010-06-03 17:45:00 9.6756206795677 8.24193612713799 0.675510776493351 1.5 946.2 23.1 1.41308562825653
2010-06-03 17:50:00 9.69556186025162 8.23963061089686 0.64817860201055 1.5 921.2 23.12 1.18393660745817
2010-06-03 17:55:00 9.46572067824004 8.21902203441607 0.625467488979347 1.5 888.7 23.3 0.942057085504353
2010-06-03 18:00:00 9.4355635154479 8.22243920920429 0.604788632733713 1.5 873.7 23.27 0.712908064705997
2010-06-03 18:05:00 9.4454061817349 8.22586340629107 0.604359872864246 1.5 843.7 23.24 0.712908064705997
2010-06-03 18:10:00 9.55507015526223 8.23963061089686 0.67583078917783 1.5 823.7 23.12 1.41308562825653
2010-06-03 18:15:00 9.48491326605162 8.23732823721152 0.74333091995876 1.5 793.7 23.14 1.88411417100871
2010-06-03 18:20:00 9.44477513226859 8.23963061089686 0.622810246838273 1.5 756.2 23.12 0.942057085504353
2010-06-03 18:25:00 9.42467679127071 8.23963061089686 0.60264633175908 1.5 698.7 23.12 0.712908064705997
2010-06-03 18:30:00 9.42443857209875 8.24771368539489 0.621778368301201 1.5 673.7 23.05 0.942057085504353
2010-06-03 18:35:00 9.4245016240642 8.23273290597191 0.603502804013669 1.5 636.2 23.18 0.712908064705997
2010-06-03 18:40:00 9.5043034387232 8.23847903141514 0.622957725745744 1.5 606.2 23.13 0.942057085504353
2010-06-03 18:45:00 9.53436511365534 8.22929463532395 0.64956061535802 1.5 173.7 23.21 1.18393660745817
2010-06-03 18:50:00 9.48400648281287 8.24424478882436 0.622220500678039 1.5 141.2 23.08 0.942057085504353
2010-06-03 18:55:00 9.42389006328767 8.23963061089686 0.64817860201055 1.5 216.2 23.12 1.18393660745817
2010-06-03 19:00:00 9.47359030287933 8.25118967551354 0.601220189262746 1.5 226.2 23.02 0.712908064705997
2010-06-03 19:05:00 9.5033299985855 8.26049373671032 0.672953301292655 1.5 473.7 22.94 1.41308562825653
2010-06-03 19:10:00 9.4733123395271 8.25583538036546 0.74051806199381 1.5 381.2 22.98 1.88411417100871
2010-06-03 19:15:00 9.67309485333302 8.25699878246234 0.706118446417019 1.5 291.2 22.97 1.65496515021035
2010-06-03 19:20:00 9.75309766539266 8.25118967551354 0.706956209453492 1.5 406.2 23.02 1.65496515021035
2010-06-03 19:25:00 9.89314098667028 8.24309006461977 0.675350797708272 1.5 341.2 23.09 1.41308562825653
2010-06-03 19:30:00 10.0631033353046 8.23963061089686 0.708633166267908 1.5 206.2 23.12 1.65496515021035
2010-06-03 19:35:00 9.99294719058018 8.23732823721152 0.676150875530453 1.5 136.2 23.14 1.41308562825653
2010-06-03 19:40:00 9.98286916378131 8.2361782279255 0.676310946401218 1.5 121.2 23.15 1.41308562825653
2010-06-03 19:45:00 9.9526896551629 8.24078297601746 0.648025133644262 1.5 108.7 23.11 1.18393660745817
2010-06-03 19:50:00 9.90265227925947 8.23732823721152 0.64848559175989 1.5 96.2 23.14 1.18393660745817
2010-06-03 19:55:00 9.83249636761484 8.23502900319683 0.623400264555311 1.5 81.2 23.16 0.942057085504353
2010-06-03 20:00:00 9.98262164264361 8.22243920920429 0.62502422695978 1.5 68.7 23.27 0.942057085504353
2010-06-03 20:05:00 9.89254387965315 8.22129937116195 0.604931586262571 1.5 58.7 23.28 0.712908064705997
2010-06-03 20:10:00 9.99240519299117 8.22357982750184 0.604645696008528 1.5 51.2 23.26 0.712908064705997
2010-06-03 20:15:00 9.85214790435998 8.22700636749764 0.604216986392994 1.5 41.2 23.23 0.712908064705997
2010-06-03 20:20:00 9.87217207069741 8.22016031301805 0.588184408046424 1.5 31.2 23.29 0.471028542752177
2010-06-03 20:25:00 9.92207404530713 8.22016031301805 0.62531971756138 1.5 23.7 23.29 0.942057085504353
2010-06-03 20:30:00 9.93199641674861 8.21902203441607 0.588323403893767 1.5 18.7 23.3 0.471028542752177
2010-06-03 20:35:00 9.72143153834067 8.23963061089686 0.574674861195845 1.5 13.7 23.12 0.24187952195382
2010-06-03 20:40:00 9.68139488621866 8.2361782279255 0.586240175155693 1.5 8.7 23.15 0.471028542752177
2010-06-03 20:45:00 9.68115243267505 8.24424478882436 0.574130694983915 1.5 6.2 23.08 0.24187952195382
2010-06-03 20:50:00 9.63099207025496 8.24771368539489 0.573722733869628 1.5 1.2 23.05 0.24187952195382
2010-06-03 20:55:00 9.58071228415544 8.25234991692473 0.584299085730698 1.5 1.2 23.01 0.471028542752177
2010-06-03 21:00:00 9.5407173677397 8.24655659884967 0.573858705377762 1.5 1.2 23.06 0.24187952195382
2010-06-03 21:05:00 9.61076383295021 8.23847903141514 0.602789035934308 1.5 1.2 23.13 0.712908064705997
2010-06-03 21:10:00 9.56074824155098 8.23388056266554 0.603360017354538 1.5 1.2 23.17 0.712908064705997
2010-06-03 21:15:00 9.53127220312845 8.19417641101371 0.591385511916765 1.5 1.2 23.52 0.471028542752177
2010-06-03 21:20:00 9.40121555259104 8.19193628821407 0.591664289202316 1.5 1.2 23.54 0.471028542752177
2010-06-03 21:25:00 9.39097441186678 8.19979022390501 0.59068886592863 1.5 1.2 23.47 0.471028542752177
2010-06-03 21:30:00 9.43073267636247 8.20768204495589 0.589714269356471 1.5 1.2 23.4 0.471028542752177
2010-06-03 21:35:00 9.32066073873977 8.20091530458664 0.607507653900932 1.5 1.2 23.46 0.712908064705997
2010-06-03 21:40:00 9.31052178243875 8.20316778686601 0.60722114994049 1.5 1.2 23.44 0.712908064705997
2010-06-03 21:45:00 9.38027933032329 8.21107588148359 0.606218928582926 1.5 1.2 23.37 0.712908064705997
2010-06-03 21:50:00 9.35020216406997 8.20994382641388 0.606362051620534 1.5 1.2 23.38 0.712908064705997
2010-06-03 21:55:00 9.40967363686939 8.22815011038923 0.604074116621106 1.5 1.2 23.22 0.712908064705997
2010-06-03 22:00:00 9.43972143594053 8.22016031301805 0.605074556621491 1.5 1.2 23.29 0.712908064705997
2010-06-03 22:05:00 9.45964425159613 8.21902203441607 0.605217543836985 1.5 1.2 23.3 0.712908064705997
2010-06-03 22:10:00 9.43954624471478 8.21902203441607 0.605217543836985 1.5 1.2 23.3 0.712908064705997
2010-06-03 22:15:00 9.35924567772214 8.22472122641166 0.604502776060752 1.5 1.2 23.25 0.712908064705997
2010-06-03 22:20:00 9.38910567054302 8.22700636749764 0.604216986392994 1.5 1.2 23.23 0.712908064705997
2010-06-03 22:25:00 9.36898655097801 8.22815011038923 0.587211894489255 1.5 1.2 23.22 0.471028542752177
2010-06-03 22:30:00 9.38880431884607 8.23273290597191 0.575491580800837 1.5 1.2 23.18 0.24187952195382
2010-06-03 22:35:00 9.41843906751157 8.24193612713799 0.602360972652176 1.5 1.2 23.1 0.712908064705997
2010-06-03 22:40:00 9.3483829674064 8.23963061089686 0.60264633175908 1.5 1.2 23.12 0.712908064705997
2010-06-03 22:45:00 9.37813639729868 8.24771368539489 0.601647861007604 1.5 1.2 23.05 0.712908064705997
2010-06-03 22:50:00 9.38801670290634 8.24887156011196 0.584714772113241 1.5 1.2 23.04 0.471028542752177
2010-06-03 22:55:00 9.36784098285492 8.24771368539489 0.584853365765513 1.5 1.2 23.05 0.471028542752177
2010-06-03 23:00:00 9.37769994635535 8.25003022336378 0.601362730296045 1.5 1.2 23.03 0.712908064705997
2010-06-03 23:05:00 9.40755880633125 8.25234991692473 0.601077664413268 1.5 1.2 23.01 0.712908064705997
2010-06-03 23:10:00 9.3874175626744 8.25467276898654 0.584022040060908 1.5 1.2 22.99 0.471028542752177
2010-06-03 23:15:00 9.39715618279043 8.25816297564202 0.583606588985943 1.5 1.2 22.96 0.471028542752177
2010-06-03 23:20:00 9.36701466085143 8.26049373671032 0.572228065374338 1.5 1.2 22.94 0.24187952195382
2010-06-03 23:25:00 9.32687303488713 8.26282766649432 0.57195650667141 1.5 1.2 22.92 0.24187952195382
2010-06-03 23:30:00 9.32673130478868 8.26516476792228 0.566416082060667 1.5 1.2 22.9 0
2010-06-03 23:35:00 9.32640435339078 8.27219513141802 0.565609455485017 1.5 1.2 22.84 0
2010-06-03 23:40:00 9.30630548859826 8.27219513141802 0.565609455485017 1.5 1.2 22.84 0
2010-06-03 23:45:00 9.28616334087235 8.27454494879169 0.565340699474028 1.5 1.2 22.82 0
2010-06-03 23:50:00 9.24604276715662 8.27572105217548 0.565206343787243 1.5 1.2 22.81 0
2010-06-03 23:55:00 9.305779753587 8.27925414554561 0.564803365765047 1.5 1.2 22.78 0
2010-06-04 00:00:00 9.31563725380994 8.28161353083917 0.564534787753638 1.5 1.2 22.76 0
2010-06-04 00:05:00 9.30547284313658 8.28515860075786 0.564132031356257 1.5 1.2 22.73 0
2010-06-04 00:10:00 9.26533009943817 8.2875259796853 0.563863600616142 1.5 1.2 22.71 0
2010-06-04 00:15:00 9.33502238135253 8.293458445135 0.563192780012771 1.5 1.2 22.66 0
2010-06-04 00:20:00 9.29494511078889 8.29227034848277 0.563326914921872 1.5 1.2 22.67 0
